time,node_id,vehicles_in_range
103.0,edge1,9
103.0,edge2,0
104.0,rsu1,2
104.0,rsu2,0
104.0,rsu3,3
104.0,rsu4,0
104.0,rsu5,0
104.0,edge1,9
104.0,edge2,0
105.0,rsu1,3
105.0,rsu2,0
105.0,rsu3,3
105.0,rsu4,0
105.0,rsu5,0
105.0,edge1,9
105.0,edge2,0
106.0,rsu1,3
106.0,rsu2,0
106.0,rsu3,2
106.0,rsu4,0
106.0,rsu5,0
106.0,edge1,9
106.0,edge2,0
107.0,rsu1,3
107.0,rsu2,0
107.0,rsu3,2
107.0,rsu4,0
107.0,rsu5,0
107.0,edge1,9
107.0,edge2,0
108.0,rsu1,4
108.0,rsu2,0
108.0,rsu3,1
108.0,rsu4,0
108.0,rsu5,0
108.0,edge1,9
108.0,edge2,0
109.0,rsu1,4
109.0,rsu2,0
109.0,rsu3,0
109.0,rsu4,0
109.0,rsu5,0
109.0,edge1,9
109.0,edge2,0
110.0,rsu1,4
110.0,rsu2,0
110.0,rsu3,0
110.0,rsu4,0
110.0,rsu5,0
110.0,edge1,9
110.0,edge2,0
111.0,rsu1,4
111.0,rsu2,0
111.0,rsu3,0
111.0,rsu4,0
111.0,rsu5,0
111.0,edge1,10
111.0,edge2,0
112.0,rsu1,5
112.0,rsu2,0
112.0,rsu3,0
112.0,rsu4,0
112.0,rsu5,1
112.0,edge1,10
112.0,edge2,0
113.0,rsu1,5
113.0,rsu2,0
113.0,rsu3,0
113.0,rsu4,0
113.0,rsu5,1
113.0,edge1,10
113.0,edge2,1
114.0,rsu1,5
114.0,rsu2,0
114.0,rsu3,0
114.0,rsu4,0
114.0,rsu5,1
114.0,edge1,10
114.0,edge2,1
115.0,rsu1,5
115.0,rsu2,0
115.0,rsu3,0
115.0,rsu4,0
115.0,rsu5,1
115.0,edge1,10
115.0,edge2,1
116.0,rsu1,5
116.0,rsu2,0
116.0,rsu3,0
116.0,rsu4,0
116.0,rsu5,1
116.0,edge1,10
116.0,edge2,1
117.0,rsu1,3
117.0,rsu2,0
117.0,rsu3,1
117.0,rsu4,0
117.0,rsu5,1
117.0,edge1,9
117.0,edge2,1
118.0,rsu1,3
118.0,rsu2,0
118.0,rsu3,1
118.0,rsu4,0
118.0,rsu5,1
118.0,edge1,9
118.0,edge2,2
119.0,rsu1,3
119.0,rsu2,0
119.0,rsu3,1
119.0,rsu4,0
119.0,rsu5,1
119.0,edge1,9
119.0,edge2,2
120.0,rsu1,3
120.0,rsu2,0
120.0,rsu3,1
120.0,rsu4,0
120.0,rsu5,1
120.0,edge1,8
120.0,edge2,1
121.0,rsu1,4
121.0,rsu2,0
121.0,rsu3,1
121.0,rsu4,0
121.0,rsu5,1
121.0,edge1,9
121.0,edge2,1
122.0,rsu1,4
122.0,rsu2,0
122.0,rsu3,1
122.0,rsu4,0
122.0,rsu5,1
122.0,edge1,9
122.0,edge2,1
123.0,rsu1,4
123.0,rsu2,0
123.0,rsu3,1
123.0,rsu4,0
123.0,rsu5,1
123.0,edge1,9
123.0,edge2,1
124.0,rsu1,4
124.0,rsu2,0
124.0,rsu3,1
124.0,rsu4,0
124.0,rsu5,0
124.0,edge1,9
124.0,edge2,1
125.0,rsu1,4
125.0,rsu2,0
125.0,rsu3,1
125.0,rsu4,0
125.0,rsu5,0
125.0,edge1,9
125.0,edge2,2
126.0,rsu1,4
126.0,rsu2,0
126.0,rsu3,1
126.0,rsu4,0
126.0,rsu5,0
126.0,edge1,9
126.0,edge2,2
127.0,rsu1,4
127.0,rsu2,0
127.0,rsu3,1
127.0,rsu4,0
127.0,rsu5,0
127.0,edge1,8
127.0,edge2,2
128.0,rsu1,4
128.0,rsu2,0
128.0,rsu3,1
128.0,rsu4,0
128.0,rsu5,0
128.0,edge1,8
128.0,edge2,2
129.0,rsu1,4
129.0,rsu2,0
129.0,rsu3,1
129.0,rsu4,0
129.0,rsu5,0
129.0,edge1,8
129.0,edge2,2
130.0,rsu1,4
130.0,rsu2,0
130.0,rsu3,1
130.0,rsu4,0
130.0,rsu5,0
130.0,edge1,8
130.0,edge2,2
131.0,rsu1,4
131.0,rsu2,0
131.0,rsu3,1
131.0,rsu4,0
131.0,rsu5,0
131.0,edge1,9
131.0,edge2,2
