time,event,task_id,veh_id,info
386.0,generated,dep_c7cc7312,29,"{""kind"": ""dependent"", ""num_subtasks"": 8, ""deadline"": 1855.8363030817775}"
391.0,generated,ind_3ab61f08,31,"{""kind"": ""independent"", ""size"": 277928, ""cpu"": 62923865.87119453, ""deadline"": 509.99500390800677}"
404.0,generated,dep_bcd1090e,35,"{""kind"": ""dependent"", ""num_subtasks"": 9, ""deadline"": 446.524235721846}"
405.0,generated,ind_d03a7a90,29,"{""kind"": ""independent"", ""size"": 497327, ""cpu"": 19823798.94083016, ""deadline"": 406.2023551189452}"
408.0,generated,ind_61824f26,37,"{""kind"": ""independent"", ""size"": 316347, ""cpu"": 68661433.8365872, ""deadline"": 578.4325977989887}"
413.0,generated,ind_f0e260d6,40,"{""kind"": ""independent"", ""size"": 349067, ""cpu"": 53961917.12618727, ""deadline"": 586.8895666908959}"
416.0,generated,dep_2d9342a4,29,"{""kind"": ""dependent"", ""num_subtasks"": 6, ""deadline"": 752.2649854410437}"
416.0,generated,dep_41c07d16,35,"{""kind"": ""dependent"", ""num_subtasks"": 8, ""deadline"": 1819.3711336523531}"
417.0,generated,ind_531b86d7,30,"{""kind"": ""independent"", ""size"": 302951, ""cpu"": 35511497.2585454, ""deadline"": 420.35819043464903}"
425.0,generated,dep_8f1747e1,38,"{""kind"": ""dependent"", ""num_subtasks"": 11, ""deadline"": 2349.936382295896}"
427.0,generated,ind_55700c2e,37,"{""kind"": ""independent"", ""size"": 169402, ""cpu"": 77540421.04727288, ""deadline"": 434.84024380309603}"
434.0,generated,ind_801e90ad,37,"{""kind"": ""independent"", ""size"": 239315, ""cpu"": 42678974.92893307, ""deadline"": 435.81567955367836}"
436.0,generated,ind_352e3878,41,"{""kind"": ""independent"", ""size"": 458642, ""cpu"": 74936748.81450759, ""deadline"": 563.9024089332644}"
437.0,generated,ind_f2d90462,36,"{""kind"": ""independent"", ""size"": 177795, ""cpu"": 68445419.09659714, ""deadline"": 593.0930639217006}"
446.0,generated,ind_a6b99df1,36,"{""kind"": ""independent"", ""size"": 79577, ""cpu"": 31056357.773920033, ""deadline"": 638.7073676638784}"
447.0,generated,ind_26949800,30,"{""kind"": ""independent"", ""size"": 164019, ""cpu"": 13675107.903900985, ""deadline"": 510.177361719869}"
447.0,generated,ind_5d3973c6,37,"{""kind"": ""independent"", ""size"": 227518, ""cpu"": 34689682.55948334, ""deadline"": 521.8665909155957}"
452.0,generated,ind_e3dbffe4,38,"{""kind"": ""independent"", ""size"": 113034, ""cpu"": 6815898.917891547, ""deadline"": 456.2738982015569}"
454.0,generated,ind_4d97d9b0,30,"{""kind"": ""independent"", ""size"": 52189, ""cpu"": 49186694.545068815, ""deadline"": 608.312235292031}"
454.0,generated,ind_9cd5a6d7,34,"{""kind"": ""independent"", ""size"": 324296, ""cpu"": 46886126.9957878, ""deadline"": 565.2716361955646}"
457.0,generated,ind_461d0815,30,"{""kind"": ""independent"", ""size"": 232944, ""cpu"": 69749722.358953, ""deadline"": 460.15417518225246}"
458.0,generated,ind_4b41f60a,41,"{""kind"": ""independent"", ""size"": 420376, ""cpu"": 58751426.29812522, ""deadline"": 465.9845703157515}"
461.0,generated,ind_840d5d1c,32,"{""kind"": ""independent"", ""size"": 59749, ""cpu"": 13639269.992752384, ""deadline"": 482.9501201240323}"
472.0,generated,ind_088979be,38,"{""kind"": ""independent"", ""size"": 135861, ""cpu"": 39314787.21336882, ""deadline"": 475.6082470816591}"
474.0,generated,ind_da44b2bc,46,"{""kind"": ""independent"", ""size"": 346543, ""cpu"": 98657724.50541216, ""deadline"": 475.4316172586114}"
476.0,generated,ind_23473322,47,"{""kind"": ""independent"", ""size"": 301124, ""cpu"": 50248498.91675125, ""deadline"": 478.5343690954884}"
478.0,generated,ind_d1362733,47,"{""kind"": ""independent"", ""size"": 130773, ""cpu"": 58571178.15648577, ""deadline"": 584.4805211724541}"
480.0,generated,ind_631fe240,44,"{""kind"": ""independent"", ""size"": 310489, ""cpu"": 50384771.621488914, ""deadline"": 556.2752673515465}"
484.0,generated,ind_1fc8bd71,32,"{""kind"": ""independent"", ""size"": 476932, ""cpu"": 88504993.25242108, ""deadline"": 660.6261847351809}"
484.0,generated,ind_f356afbf,41,"{""kind"": ""independent"", ""size"": 74633, ""cpu"": 55048278.586738415, ""deadline"": 513.4790870856345}"
487.0,generated,ind_c36d199e,38,"{""kind"": ""independent"", ""size"": 218565, ""cpu"": 13088295.986551553, ""deadline"": 673.26873174586}"
493.0,generated,ind_bc0ae7cb,32,"{""kind"": ""independent"", ""size"": 102030, ""cpu"": 41502573.65365237, ""deadline"": 579.081048314716}"
493.0,generated,dep_902513b7,36,"{""kind"": ""dependent"", ""num_subtasks"": 6, ""deadline"": 1334.8280658273318}"
500.0,generated,ind_cb8417dd,44,"{""kind"": ""independent"", ""size"": 375237, ""cpu"": 4513816.263075387, ""deadline"": 624.0964680522234}"
510.0,generated,ind_199c1d28,46,"{""kind"": ""independent"", ""size"": 420905, ""cpu"": 64667336.41480665, ""deadline"": 686.9102916114532}"
520.0,generated,dep_88dbaf83,47,"{""kind"": ""dependent"", ""num_subtasks"": 11, ""deadline"": 2176.5197484898763}"
522.0,generated,ind_249ad726,47,"{""kind"": ""independent"", ""size"": 130782, ""cpu"": 68330560.9892978, ""deadline"": 704.225908492301}"
523.0,generated,ind_bc3e8c71,48,"{""kind"": ""independent"", ""size"": 407876, ""cpu"": 6443309.166777592, ""deadline"": 530.6725692687027}"
537.0,generated,ind_673751ab,47,"{""kind"": ""independent"", ""size"": 176033, ""cpu"": 95428298.60094966, ""deadline"": 622.0055215317182}"
549.0,generated,ind_06160825,47,"{""kind"": ""independent"", ""size"": 420004, ""cpu"": 76741676.71087117, ""deadline"": 644.336713743706}"
553.0,generated,ind_04c495d2,47,"{""kind"": ""independent"", ""size"": 104092, ""cpu"": 38687554.78009752, ""deadline"": 696.2487218362141}"
562.0,generated,ind_45f12283,48,"{""kind"": ""independent"", ""size"": 497907, ""cpu"": 32342614.218124125, ""deadline"": 746.697585401139}"
36.0,generated,ind_fcf1c4c6,3,"{""kind"": ""independent"", ""size"": 311084, ""cpu"": 56424311.45472767, ""deadline"": 78.00014850691522}"
54.0,generated,ind_76d7b198,1,"{""kind"": ""independent"", ""size"": 116640, ""cpu"": 34683370.20926796, ""deadline"": 100.86343539912338}"
56.0,generated,dep_8acc03fe,1,"{""kind"": ""dependent"", ""num_subtasks"": 10, ""deadline"": 311.40786290301793}"
59.0,generated,ind_22488312,3,"{""kind"": ""independent"", ""size"": 83666, ""cpu"": 82927603.84685859, ""deadline"": 157.0036467967434}"
78.0,generated,ind_e7dfc21c,3,"{""kind"": ""independent"", ""size"": 100314, ""cpu"": 4034753.799126963, ""deadline"": 246.38013059420734}"
80.0,generated,dep_78d117ac,7,"{""kind"": ""dependent"", ""num_subtasks"": 8, ""deadline"": 632.9352660129284}"
